NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,2,0,2,0,0,7,7,7,,,,,,,,,,,22.921612000000096,None,3,0.15627279999898747,22.921612000000096,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,2,0,2,0,0,8,8,8,,,,,,,,,,,23.171832100000756,None,2,0.5176527000003261,23.171832100000756,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,2,0,2,0,0,9,9,9,,,,,,,,,,,23.788720500000636,None,3,1.3798035999989224,23.788720500000636,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,2,0,2,0,0,10,10,10,,,,,,,,,,,25.272961900000155,None,1,0.6587579999995796,25.272961900000155,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,2,0,2,0,0,11,11,11,,,,,,,,,,,26.007010000001173,None,2,0.28601939999862225,26.007010000001173,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,2,0,2,0,0,12,12,12,,,,,,,,,,,26.39043590000074,None,None,,26.39043590000074,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,27.389355600000272,None,x,1.1191782000005333,27.389355600000272,None,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,3,0,3,0,0,0,0,0,,,,,,,,,,,28.60806490000141,None,1,0.9871261999996932,28.60806490000141,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,3,0,3,0,0,1,1,1,,,,,,,,,,,29.67480930000056,None,2,0.11881750000065949,29.67480930000056,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,3,0,3,0,0,2,2,2,,,,,,,,,,,29.875054300000556,None,3,0.3663653000003251,29.875054300000556,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,3,0,3,0,0,3,3,3,,,,,,,,,,,30.34183850000045,None,1,0.0667580999997881,30.34183850000045,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,3,0,3,0,0,4,4,4,,,,,,,,,,,30.492174500001056,None,2,0.34485049999966577,30.492174500001056,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,3,0,3,0,0,5,5,5,,,,,,,,,,,30.942161599999963,None,3,0.01282309999987774,30.942161599999963,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,3,0,3,0,0,6,6,6,,,,,,,,,,,31.04238609999993,None,1,0.081912800000282,31.04238609999993,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,3,0,3,0,0,7,7,7,,,,,,,,,,,31.20925900000111,None,3,0.1030642000005173,31.20925900000111,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,3,0,3,0,0,8,8,8,,,,,,,,,,,31.392718799999784,None,2,0.15083810000032827,31.392718799999784,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,3,0,3,0,0,9,9,9,,,,,,,,,,,31.65912440000102,None,3,0.3737133000013273,31.65912440000102,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,3,0,3,0,0,10,10,10,,,,,,,,,,,32.14340590000029,None,1,0.02890800000022864,32.14340590000029,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,3,0,3,0,0,11,11,11,,,,,,,,,,,32.259617400000934,None,2,1.1171136000011757,32.259617400000934,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,3,0,3,0,0,12,12,12,,,,,,,,,,,33.47772950000035,None,None,,33.47772950000035,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,34.47690781000019,None,None,,34.47690781000019,None,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,4,0,4,0,0,0,0,0,,,,,,,,,,,34.543944200000624,None,1,1.1864691999999195,34.543944200000624,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,4,0,4,0,0,1,1,1,,,,,,,,,,,35.81109600000127,None,2,0.0849473999987822,35.81109600000127,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,4,0,4,0,0,2,2,2,,,,,,,,,,,35.978172000000995,None,3,0.04867809999996098,35.978172000000995,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,4,0,4,0,0,3,3,3,,,,,,,,,,,36.094824900001186,None,1,0.1698608000006061,36.094824900001186,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,4,0,4,0,0,4,4,4,,,,,,,,,,,36.361506299999746,None,2,0.11370760000136215,36.361506299999746,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,4,0,4,0,0,5,5,5,,,,,,,,,,,36.561496700000134,None,3,0.09153189999960887,36.561496700000134,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,4,0,4,0,0,6,6,6,,,,,,,,,,,36.745227200000954,None,1,0.3208004999996774,36.745227200000954,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,4,0,4,0,0,7,7,7,,,,,,,,,,,37.17851400000109,None,3,0.061611099999936414,37.17851400000109,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
